sample;Depth;NO3;NO2;NH4;TIN;PO4;SiO2;DOC;TN;DON;Chla_0.2;Chla_3;Chlorophyll_a;Bacterial_abundance;Bacterial_biomass; Synechococcales;Prochlorococcus;Pico_small;Pico_big;PP_0.2;PP_0.2_SD;PP_3;PP_3_SD;PP_total;PP_total_ee;BP;BP_ee
ENV3_D3_S6;100;6.55;0.04;0.06;6.65;0.43;4.11;;;;0.071463;0.457191;0.529;84164;16;433;0;64;21;;;;;;;;
ENV3_D5_S3;5;3.93;0.17;0.12;4.22;0.33;3.86;68.14;7.89;3.67;0.175306353;5.592718353;5.768;1520135;118;7107;0;4003;2162;34.25354215;1.714115116;0.673473214;0.216962873;34.92701536;1.567949558;16.69869269;2.066658714
ENV3_D5_S3;10;5.29;0.13;0.14;5.57;0.41;3.93;60.32;8.2;2.63;0.129386353;3.425294353;3.555;450309;35;476;0;878;615;15.33728717;1.591640801;0.396502512;0.660887774;15.68889608;0.932269492;11.66050135;1.798747275
ENV3_D5_S3;20;6.54;0.08;0.06;6.68;0.47;4.14;55.86;9.21;2.54;0.113314353;0.457714353;0.571;225932;17;487;0;246;198;0.666417516;0.183347795;0.445477352;0.458228338;1.111894868;0.353601849;1.314430281;0.17195659
ENV3_D5_S3;40;8.18;0.04;0.05;8.27;0.56;4.99;57.85;10.51;2.25;0.075430353;0.086910353;0.162;175661;14;144;0;64;11;0.439597604;0.361073402;0.071871268;0.013494862;0.511468872;0.357052791;0.367600732;0.036956242
ENV3_D5_S3;75;11.29;0.04;0.06;11.39;0.79;8.46;57.35;12.95;1.56;0.084614353;0.069690353;0.154;209399;16;75;0;75;5;;;;;;;0.562394765;0.225080704
ENV3_D5_S6;5;0.38;0.05;0.01;0.44;0.07;2.19;;;;0.993830353;1.281978353;2.276;373970;71;40389;0;8220;1028;;;;;;;;
ENV3_D5_S6;25;0.42;0.05;0.04;0.51;0.07;1.63;;;;0.664354353;1.338230353;2.003;415404;79;38371;0;8199;717;;;;;;;;
ENV3_D5_S6;40;1.48;0.14;0.05;1.66;0.14;2.16;;;;0.966278353;1.445804706;2.412;398432;76;32875;0;6775;947;;;;;;;;
ENV3_D5_S6;80;5.32;0.05;0;5.37;0.37;2.94;;;;0.724050353;0.249926353;0.974;105075;20;401;0;43;91;;;;;;;;
ENV3_D5_S6;150;8.62;0.04;0;8.66;0.56;4.36;;;;0.253370353;0.128238353;0.382;72452;14;316;0;11;11;;;;;;;;
ENV3_D7_S6;5;0.07;0.19;0.35;6.28;0.06;3.34;53.27;9.32;3.04;0.141491;2.319821;2.461312;767427;58;5742;0;626;1375;9.72377236;0.508767464;0.63846078;0.148364424;10.36223314;0.360494082;11.80991008;0.913515656
ENV3_D7_S6;15;6.19;0.2;0.35;6.74;0.6;5.45;55.42;10.81;4.07;0.158711;2.033108;2.191819;741592;56;1135;0;1985;1295;5.905075798;0.305644774;0.463632735;0.107395288;6.475086737;0.261651836;9.476954866;0.563025374
